admin1,admin2,admin3,location,latitude,longitude,event_date,year,month,casualties,num_events,tsne_reduced,min_distance_to_battlefront,distance_score,hazard_score
Cherkasy,Cherkaskyi,Chepkaska,Cherkasy,49.4285,32.0621,2023-05-09,2023,5,0,1,0.0,384.340446049815,0.021420551646310487,0.6426165493893147
Cherkasy,Cherkaskyi,Chepkaska,Cherkasy,49.4285,32.0621,2023-06-28,2023,6,0,1,0.0,384.340446049815,0.021420551646310487,0.6426165493893147
Cherkasy,Cherkaskyi,Chepkaska,Cherkasy,49.4285,32.0621,2023-07-06,2023,7,0,1,0.0,384.340446049815,0.021420551646310487,0.6426165493893147
Cherkasy,Umanskyi,Umanska,Uman,48.7484,30.2218,2023-04-28,2023,4,41,1,51.278515,514.8901174341341,0.005805780763996009,36.06913191901363
Cherkasy,Umanskyi,Umanska,Uman,48.7484,30.2218,2023-06-08,2023,6,0,1,0.0,514.8901174341341,0.005805780763996009,0.1741734229198803
Chernihiv,Chernihivskyi,Chepnigivska,Chernihiv,51.5055,31.2849,2023-03-17,2023,3,0,1,0.0,521.7488751836453,0.005420925336362802,0.1626277600908841
Chernihiv,Chernihivskyi,Chepnigivska,Chernihiv,51.5055,31.2849,2023-04-21,2023,4,0,1,0.0,521.7488751836453,0.005420925336362802,0.1626277600908841
Chernihiv,Chernihivskyi,Dobrianska,Oleksandrivka,51.9556,31.1942,2023-03-18,2023,3,0,1,0.0,555.6720902130107,0.0038614176266842538,0.11584252880052763
Chernihiv,Chernihivskyi,Dobrianska,Oleksandrivka,51.9556,31.1942,2023-03-19,2023,3,0,1,0.0,555.6720902130107,0.0038614176266842538,0.11584252880052763
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-02-27,2023,2,0,1,0.0,535.0279206747671,0.004746825468670654,0.14240476406011962
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-03-15,2023,3,0,1,0.0,535.0279206747671,0.004746825468670654,0.14240476406011962
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-03-16,2023,3,0,1,0.0,535.0279206747671,0.004746825468670654,0.14240476406011962
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-05-08,2023,5,0,1,0.0,535.0279206747671,0.004746825468670654,0.14240476406011962
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-06-01,2023,6,0,1,0.0,535.0279206747671,0.004746825468670654,0.14240476406011962
Chernihiv,Chernihivskyi,Horodnianska,Hasychivka,52.0145,31.7783,2023-05-02,2023,5,0,1,0.0,528.6395019468879,0.005059968507740255,0.15179905523220766
Chernihiv,Chernihivskyi,Horodnianska,Hasychivka,52.0145,31.7783,2023-05-09,2023,5,0,1,0.0,528.6395019468879,0.005059968507740255,0.15179905523220766
Chernihiv,Chernihivskyi,Horodnianska,Horodnia,51.8914,31.5957,2023-03-01,2023,3,0,1,0.0,529.5434465857846,0.005014435301223092,0.15043305903669277
Chernihiv,Chernihivskyi,Horodnianska,Moshchenka,52.0308,31.7396,2023-05-08,2023,5,0,1,0.0,531.8290867954331,0.0049011232376864455,0.1470336971305934
