admin1,admin2,admin3,location,latitude,longitude,year,month,casualties,num_events,min_distance_to_battlefront,hazard_score,pca_hazard_score,hazard_score_tsne
Cherkasy,Umanskyi,Umanska,Uman,48.7484,30.2218,2023,4,41,1,514.8901174341341,21.111310500410173,22.212264698669927,8.89599
Chernihiv,Chernihivskyi,Chepnigivska,Chernihiv,51.5055,31.2849,2023,4,0,1,521.7488751836453,20.869565217391305,20.05533487423328,1.9003732
Chernihiv,Chernihivskyi,Dobrianska,Oleksandrivka,51.9556,31.1942,2023,3,0,2,555.6720902130107,21.73913043478261,20.366009367031793,1.2566564
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023,2,0,1,535.0279206747671,20.869565217391305,20.056752693907736,1.6419163
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023,3,0,2,535.0279206747671,21.73913043478261,20.363805164195558,1.4142692
Chernihiv,Chernihivskyi,Horodnianska,Horodnia,51.8914,31.5957,2023,3,0,1,529.5434465857846,20.869565217391305,20.0561671100062,1.7411077
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023,1,0,4,534.0899920700649,23.47826086956522,20.97780996100485,7.3908052
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023,2,0,9,534.0899920700649,42.82608695652174,37.51307231244395,8.243752
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023,3,0,4,534.0899920700649,23.47826086956522,20.97780996100485,7.3908052
Chernihiv,Chernihivskyi,Liubetska,Pavlivka,51.6406,30.8981,2023,2,0,1,552.3522684965775,20.869565217391305,20.058602435382397,1.3082763
Chernihiv,Koriukivskyi,Koriukivska,Khotivka,51.7193,32.4974,2023,4,0,1,469.9024552627288,20.869565217391305,20.0497991695576,4.8744535
Chernihiv,Koriukivskyi,Koriukivska,Koriukivka,51.7757,32.2592,2023,1,0,1,486.3143586763483,20.869565217391305,20.051551488244254,3.9437368
Chernihiv,Koriukivskyi,Koriukivska,Koriukivka,51.7757,32.2592,2023,2,0,1,486.3143586763483,20.869565217391305,20.051551488244254,3.9437368
Chernihiv,Koriukivskyi,Koriukivska,Koriukivka,51.7757,32.2592,2023,3,0,1,486.3143586763483,20.869565217391305,20.051551488244254,3.9430904
Chernihiv,Koriukivskyi,Koriukivska,Naumivka,51.8387,32.1902,2023,2,0,1,494.5043782201699,20.869565217391305,20.052425946491358,3.533787
Chernihiv,Koriukivskyi,Snovska,Hirsk,52.0186,31.8535,2023,3,0,1,525.0510880724431,20.869565217391305,20.055687455479134,1.8297967
Chernihiv,Koriukivskyi,Snovska,Huta-Studenetska,52.0031,32.1858,2023,1,0,3,507.01412829832293,22.608695652173914,20.667866568144014,6.9445915
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023,1,0,4,529.8438702843218,23.47826086956522,20.97735659746965,7.3768935
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023,2,0,3,529.8438702843218,22.608695652173914,20.67030412718183,7.2228103
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023,3,0,7,529.8438702843218,41.08695652173913,36.89851400833311,8.097057
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023,1,0,1,525.5069596506485,20.869565217391305,20.055736129436387,1.8199403
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023,2,0,3,525.5069596506485,22.608695652173914,20.66984107001203,7.1771345
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023,3,0,4,525.5069596506485,23.47826086956522,20.97689354029985,7.361567
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023,4,0,1,525.5069596506485,20.869565217391305,20.055736129436387,1.8199403
Chernihiv,Koriukivskyi,Snovska,Lypivka,52.1077,31.8556,2023,1,0,1,531.519416663208,20.869565217391305,20.056378086710343,1.7066393
Chernihiv,Koriukivskyi,Snovska,Mistky,52.0098,32.0479,2023,1,0,1,514.4662828680473,20.869565217391305,20.054557303083836,2.09224
Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2023,1,0,2,505.83482279633824,21.73913043478261,20.360688181987918,2.815033
Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2023,2,0,1,505.83482279633824,20.869565217391305,20.053635711700096,2.3730428
Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2023,3,0,1,505.83482279633824,20.869565217391305,20.053635711700096,2.3731596
