admin1,admin2,admin3,location,latitude,longitude,event_date,year,month,casualties,num_events,min_distance_to_battlefront,hazard_score,pca_hazard_score,hazard_score_tsne
Cherkasy,Umanskyi,Umanska,Uman,48.7484,30.2218,2023-04-28,2023,4,41,1,514.8901174341341,30.683333333333334,29.03281218004124,62.218136
Chernihiv,Chernihivskyi,Chepnigivska,Chernihiv,51.5055,31.2849,2023-04-21,2023,4,0,1,521.7488751836453,30.0,23.262574316290383,7.4012256
Chernihiv,Chernihivskyi,Dobrianska,Oleksandrivka,51.9556,31.1942,2023-03-18,2023,3,0,1,555.6720902130107,30.0,23.474701290290753,6.5177603
Chernihiv,Chernihivskyi,Dobrianska,Oleksandrivka,51.9556,31.1942,2023-03-19,2023,3,0,1,555.6720902130107,30.0,23.474701290290753,6.5177603
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-02-27,2023,2,0,1,535.0279206747671,30.0,23.345610188191277,6.6969795
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-03-15,2023,3,0,1,535.0279206747671,30.0,23.345610188191277,6.6969795
Chernihiv,Chernihivskyi,Horodnianska,Berylivka,52.075,31.7399,2023-03-16,2023,3,0,1,535.0279206747671,30.0,23.345610188191277,6.6969795
Chernihiv,Chernihivskyi,Horodnianska,Horodnia,51.8914,31.5957,2023-03-01,2023,3,0,1,529.5434465857846,30.0,23.31131494549473,6.8561807
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-01-10,2023,1,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-01-12,2023,1,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-01-26,2023,1,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-01-27,2023,1,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-03,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-04,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-05,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-09,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-10,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-11,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-20,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-23,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-02-24,2023,2,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-03-06,2023,3,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-03-07,2023,3,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-03-08,2023,3,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2023-03-10,2023,3,0,1,534.0899920700649,30.0,23.339745179330187,6.701917
Chernihiv,Chernihivskyi,Liubetska,Pavlivka,51.6406,30.8981,2023-02-10,2023,2,0,1,552.3522684965775,30.0,23.45394194497758,6.52267
Chernihiv,Koriukivskyi,Koriukivska,Khotivka,51.7193,32.4974,2023-04-22,2023,4,0,1,469.9024552627288,30.0,22.93837084203076,12.468031
Chernihiv,Koriukivskyi,Koriukivska,Koriukivka,51.7757,32.2592,2023-01-30,2023,1,0,1,486.3143586763483,30.0,23.040996946475865,10.348152
Chernihiv,Koriukivskyi,Koriukivska,Koriukivka,51.7757,32.2592,2023-02-04,2023,2,0,1,486.3143586763483,30.0,23.040996946475865,10.348145
Chernihiv,Koriukivskyi,Koriukivska,Koriukivka,51.7757,32.2592,2023-03-09,2023,3,0,1,486.3143586763483,30.0,23.040996946475865,10.348145
Chernihiv,Koriukivskyi,Koriukivska,Naumivka,51.8387,32.1902,2023-02-15,2023,2,0,1,494.5043782201699,30.0,23.092210372483123,9.036753
Chernihiv,Koriukivskyi,Snovska,Hirsk,52.0186,31.8535,2023-03-30,2023,3,0,1,525.0510880724431,30.0,23.28322355095164,7.054197
Chernihiv,Koriukivskyi,Snovska,Huta-Studenetska,52.0031,32.1858,2023-01-24,2023,1,0,1,507.01412829832293,30.0,23.17043572427488,8.419563
Chernihiv,Koriukivskyi,Snovska,Huta-Studenetska,52.0031,32.1858,2023-01-30,2023,1,0,1,507.01412829832293,30.0,23.17043572427488,8.419563
Chernihiv,Koriukivskyi,Snovska,Huta-Studenetska,52.0031,32.1858,2023-01-31,2023,1,0,1,507.01412829832293,30.0,23.17043572427488,8.419563
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-01-24,2023,1,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-01-28,2023,1,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-01-29,2023,1,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-01-30,2023,1,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-02-10,2023,2,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-02-26,2023,2,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-02-27,2023,2,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-03-02,2023,3,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-03-15,2023,3,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-03-16,2023,3,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-03-19,2023,3,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-03-20,2023,3,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-03-21,2023,3,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Khrinivka,52.0752,31.8412,2023-03-22,2023,3,0,1,529.8438702843218,30.0,23.313193540139533,6.8429165
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-01-31,2023,1,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-02-01,2023,2,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-02-02,2023,2,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-02-04,2023,2,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-03-18,2023,3,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-03-19,2023,3,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-03-22,2023,3,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-03-23,2023,3,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Kliusy,52.0771,31.9292,2023-04-24,2023,4,0,1,525.5069596506485,30.0,23.286074184605727,7.04113
Chernihiv,Koriukivskyi,Snovska,Lypivka,52.1077,31.8556,2023-01-02,2023,1,0,1,531.519416663208,30.0,23.323670984062307,6.791033
Chernihiv,Koriukivskyi,Snovska,Mistky,52.0098,32.0479,2023-01-31,2023,1,0,1,514.4662828680473,30.0,23.21703516944216,7.98516
Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2023-01-02,2023,1,0,1,505.83482279633824,30.0,23.163061349312443,8.472082
Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2023-01-14,2023,1,0,1,505.83482279633824,30.0,23.163061349312443,8.472082
Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2023-02-16,2023,2,0,1,505.83482279633824,30.0,23.163061349312443,8.472082
Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2023-03-29,2023,3,0,1,505.83482279633824,30.0,23.163061349312443,8.472082
Chernihiv,Koriukivskyi,Snovska,Turia,51.893,31.9886,2023-04-05,2023,4,0,1,508.90282211934283,30.0,23.182246011263285,8.341481
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-01-02,2023,1,0,1,519.272163626785,30.0,23.247087065816814,7.5129538
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-01,2023,2,4,1,519.272163626785,30.066666666666666,23.814221378910283,8.125278
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-02,2023,2,0,1,519.272163626785,30.0,23.247087065816814,7.5136175
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-20,2023,2,0,1,519.272163626785,30.0,23.247087065816814,7.51412
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-23,2023,2,0,1,519.272163626785,30.0,23.247087065816814,7.514024
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-24,2023,2,0,1,519.272163626785,30.0,23.247087065816814,7.51412
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-26,2023,2,0,1,519.272163626785,30.0,23.247087065816814,7.51412
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-27,2023,2,0,1,519.272163626785,30.0,23.247087065816814,7.514024
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-02-28,2023,2,0,1,519.272163626785,30.0,23.247087065816814,7.5144253
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-03-01,2023,3,0,1,519.272163626785,30.0,23.247087065816814,7.5135813
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-03-09,2023,3,0,1,519.272163626785,30.0,23.247087065816814,7.5135813
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-03-10,2023,3,0,1,519.272163626785,30.0,23.247087065816814,7.5135813
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-03-14,2023,3,0,1,519.272163626785,30.0,23.247087065816814,7.513638
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-03-15,2023,3,0,1,519.272163626785,30.0,23.247087065816814,7.513638
Chernihiv,Koriukivskyi,Snovska,Yeline,52.0233,31.9731,2023-03-16,2023,3,0,1,519.272163626785,30.0,23.247087065816814,7.5136333
Chernihiv,Nizhynskyi,Bakhmatska,Ukrainske,51.1729,32.6668,2023-03-23,2023,3,0,1,421.9754127610388,30.0,22.63867582521499,11.860307
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-01,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-09,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-18,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-19,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-23,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-24,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-04-28,2023,4,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buda-Vorobivska,52.2457,33.0549,2023-04-26,2023,4,0,1,486.11390176263143,30.0,23.039743459196213,10.360138
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-01-03,2023,1,0,1,484.09130215326735,30.0,23.027095839140824,10.5437565
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-01-04,2023,1,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-01-08,2023,1,0,1,484.09130215326735,30.0,23.027095839140824,10.5437565
